행정동코드,기준일ID,시간대구분,유동인구
강남구,20221101,0,662527.2284
강남구,20221101,1,657373.079
강남구,20221101,2,653810.8527
강남구,20221101,3,651446.6419
강남구,20221101,4,652700.2264
강남구,20221101,5,662893.1377
강남구,20221101,6,693123.5219
강남구,20221101,7,761632.5029
강남구,20221101,8,889916.318
강남구,20221101,9,1000836.447
강남구,20221101,10,1044287.96
강남구,20221101,11,1065283.638
강남구,20221101,12,1079314.594
강남구,20221101,13,1090890.527
강남구,20221101,14,1096622.57
강남구,20221101,15,1092667.097
강남구,20221101,16,1073281.099
강남구,20221101,17,1035220.784
강남구,20221101,18,946495.3378
강남구,20221101,19,859299.0285
강남구,20221101,20,806956.3474
강남구,20221101,21,761588.7094
강남구,20221101,22,710134.2953
강남구,20221101,23,677694.7074
강동구,20221101,0,530931.5538
강동구,20221101,1,532364.7735
강동구,20221101,2,532867.793
강동구,20221101,3,533383.2089
강동구,20221101,4,532813.6694
강동구,20221101,5,531326.7541
강동구,20221101,6,523763.4709
강동구,20221101,7,509160.8129
강동구,20221101,8,480122.9229
강동구,20221101,9,461088.5066
강동구,20221101,10,450243.2643
강동구,20221101,11,443888.7951
강동구,20221101,12,438540.7579
강동구,20221101,13,439064.6555
강동구,20221101,14,441570.5605
강동구,20221101,15,445741.1878
강동구,20221101,16,450731.9784
강동구,20221101,17,458652.239
강동구,20221101,18,476875.2872
강동구,20221101,19,495897.5567
강동구,20221101,20,505984.5912
강동구,20221101,21,515247.61
강동구,20221101,22,522597.9936
강동구,20221101,23,528615.2244
강북구,20221101,0,303725.0038
강북구,20221101,1,304297.3962
강북구,20221101,2,304467.9709
강북구,20221101,3,304422.1697
강북구,20221101,4,303195.5925
강북구,20221101,5,299615.0765
강북구,20221101,6,292394.5613
강북구,20221101,7,282181.8061
강북구,20221101,8,268410.5189
강북구,20221101,9,259215.2672
강북구,20221101,10,254658.1437
강북구,20221101,11,253466.8275
강북구,20221101,12,251686.0369
강북구,20221101,13,250727.7753
강북구,20221101,14,250405.1098
강북구,20221101,15,252105.06
강북구,20221101,16,254276.969
강북구,20221101,17,259358.5577
강북구,20221101,18,268736.368
강북구,20221101,19,280665.7201
강북구,20221101,20,286541.1473
강북구,20221101,21,291674.5964
강북구,20221101,22,297051.5762
강북구,20221101,23,301815.7525
강서구,20221101,0,552504.7353
강서구,20221101,1,553584.3633
강서구,20221101,2,554559.3288
강서구,20221101,3,554618.899
강서구,20221101,4,555450.3096
강서구,20221101,5,557142.1679
강서구,20221101,6,557239.8776
강서구,20221101,7,552851.221
강서구,20221101,8,536131.9964
강서구,20221101,9,524036.855
강서구,20221101,10,525041.0346
강서구,20221101,11,519621.0647
강서구,20221101,12,517194.535
강서구,20221101,13,513601.336
강서구,20221101,14,512205.9949
강서구,20221101,15,510922.7015
강서구,20221101,16,514286.2892
강서구,20221101,17,516140.4877
강서구,20221101,18,519135.9559
