gu,lat,lng,val(22년 인력예측 값),출동소방서,화재출동건수,구조출동건수,구급출동건수,기타출동건수,전체출동건수,1인출동건수,구급이송인원,구조인원,사망,생존구조인원,재산피해경감율,인구밀도,1인담당인구,1인담당면적,22년 실제 소방공무원,비고,오차,출동인원,가용인원,총원
강남구,37.49785228,127.0589852,343,강남소방서,661,2862,35090,3977,42590,114,18016,982,17,965,0.968,13494,1436,0.106,364,여기에 텍스트 입력,-21,41,76,220
강동구,37.53833319,127.1361599,298,강동소방서,377,1557,24172,2301,28407,95,13486,250,0,250,0.886,18815,1557,0.083,291,여기에 텍스트 입력,7,30,68,309
강북구,37.63347141,127.0228596,252,강북소방서,195,1302,22371,1947,25815,108,13167,366,4,362,0.861,12677,1257,0.099,234,여기에 텍스트 입력,18,41,61,252
강서구,37.55328064,126.838471,321,강서소방서,468,2088,26704,2981,32241,102,15722,302,4,298,0.968,13855,1823,0.132,315,여기에 텍스트 입력,6,38,79,313
관악구,37.47771708,126.9402365,288,관악소방서,496,2193,25764,2646,31099,113,15434,809,15,794,0.921,16425,1772,0.108,269,여기에 텍스트 입력,19,43,80,273
광진구,37.54342118,127.0825456,228,광진소방서,263,1471,16881,1925,20540,93,9937,464,10,454,0.869,19929,1552,0.078,216,여기에 텍스트 입력,12,39,78,291
노원구,37.64632454,127.0694947,279,노원소방서,246,1929,24411,2465,29051,107,14546,393,11,382,0.99,14417,1885,0.131,268,여기에 텍스트 입력,11,31,79,235
도봉구,37.66674689,127.0450621,237,도봉소방서,194,1134,17521,1660,20509,87,10708,296,1,295,0.991,15368,1356,0.088,228,여기에 텍스트 입력,9,43,71,222
동대문구,37.57925708,127.0458364,277,동대문소방서,235,1258,21241,1713,24447,90,11967,322,19,303,0.823,23727,1245,0.052,261,여기에 텍스트 입력,16,45,69,339
동작구,37.50758904,126.9438977,233,동작소방서,213,1102,15130,1744,18189,78,9088,295,9,286,0.929,23562,1654,0.07,230,여기에 텍스트 입력,3,33,61,248
마포구,37.55254229,126.9286982,313,마포소방서,448,1948,27372,1997,31765,103,15182,521,0,521,0.885,15467,1197,0.077,306,여기에 텍스트 입력,7,41,67,319
서대문구,37.57182618,126.9457684,246,서대문소방서,373,1201,21134,1709,24417,100,12320,192,3,189,0.983,17289,1254,0.073,241,여기에 텍스트 입력,5,48,71,275
서초구,37.48486471,127.0186786,315,서초소방서,367,1780,24629,3319,30095,95,13662,340,4,336,0.877,8775,1304,0.149,314,여기에 텍스트 입력,1,45,74,258
성동구,37.55458547,127.0372869,237,성동소방서,240,1141,16520,1413,19314,81,9177,341,4,337,0.96,16962,1206,0.071,231,여기에 텍스트 입력,6,30,78,241
성북구,37.59150834,127.0197979,248,성북소방서,232,1230,19915,2123,23500,97,11611,270,8,262,0.898,17515,1779,0.102,238,여기에 텍스트 입력,10,44,60,227
송파구,37.5038887,127.118049,335,송파소방서,408,2085,29512,2826,34831,106,16863,483,3,480,0.944,19431,2013,0.104,319,여기에 텍스트 입력,16,37,61,342
양천구,37.52762729,126.853749,292,양천소방서,273,1257,24542,1742,27814,100,14659,246,4,242,0.841,25692,1609,0.063,273,여기에 텍스트 입력,19,30,69,311
영등포구,37.52277929,126.899471,310,영등포소방서,440,2274,28347,2027,33088,110,13305,1040,20,1020,0.967,15349,1260,0.082,289,여기에 텍스트 입력,21,31,78,323
용산구,37.53588642,126.9758346,257,용산소방서,304,1461,14920,1702,18387,73,7676,379,0,379,0.927,10194,888,0.087,250,여기에 텍스트 입력,7,50,69,331
은평구,37.60538911,126.9209356,259,은평소방서,392,1570,22823,2737,27522,108,14237,297,1,296,0.639,15930,1870,0.117,248,여기에 텍스트 입력,11,49,63,287
종로구,37.57792654,126.9823285,293,종로소방서,355,898,17717,1911,20881,68,9020,322,3,319,0.978,6051,477,0.079,296,여기에 텍스트 입력,-3,33,69,343
중랑구,37.60243295,127.0920256,252,중랑소방서,280,1443,19719,2464,23906,97,12523,218,3,215,0.989,20937,1587,0.076,240,여기에 텍스트 입력,12,37,67,290
중구,37.56265648,126.9904946,272,중부소방서,261,709,15564,1671,18205,65,8203,284,2,282,0.065,12299,443,0.036,274,여기에 텍스트 입력,-2,48,60,285
