출동소방서,시점,소방공무원,구급출동건수,구조출동건수,화재출동건수,기타출동건수,구급이송건수,구급이송인원,구조인원,사망,화재발생건수,재산피해경감율,인구,총인구수,면적,면적비율,1년 전 소방공무원
강남소방서,2007,240,18384,1692,351,1036,11474,11731,763,6,265,0.0,560958,10192710,39.54,6.53,240
강남소방서,2008,279,19178,1771,453,2115,11723,12021,751,20,393,0.0,557832,10200827,39.54,6.53,240
강남소방서,2009,293,20152,2160,439,3034,12223,12521,745,24,367,0.0,562138,10208302,39.54,6.53,279
강남소방서,2010,285,20163,2583,458,3726,12350,12573,762,8,372,0.0,570095,10312545,39.51,6.53,293
강남소방서,2011,304,21335,3193,482,4092,13153,13441,1204,3,420,0.946,565710,10249679,39.51,6.53,285
강남소방서,2012,310,22510,3838,430,3753,14874,15200,1341,9,385,0.957,564197,10195318,39.5,6.53,304
강남소방서,2013,310,21916,3670,447,3449,14730,14978,1064,14,421,0.936,563599,10143645,39.5,6.53,310
강남소방서,2014,309,25671,2427,520,4139,16683,16927,1350,6,427,0.962,578114,10103233,39.5,6.53,310
강남소방서,2015,321,26707,2239,634,3945,17129,17437,1521,10,504,0.971,576495,10022181,39.5,6.53,309
강남소방서,2016,321,29374,2205,802,4131,17875,18183,1155,8,589,0.961,567115,9930616,39.5,6.53,321
강남소방서,2017,324,31590,2270,619,4146,18384,18732,1418,3,502,0.983,556164,9857426,39.5,6.53,321
강남소방서,2018,355,32700,2341,625,3458,19089,19299,1020,5,436,0.982,542364,9765623,39.5,6.53,324
강남소방서,2019,358,31783,2445,582,3155,18975,19300,872,1,456,0.978,545169,9729107,39.5,6.5,355
강남소방서,2020,361,28419,2478,505,3253,15077,15132,723,12,387,0.974,539231,9668465,39.5,6.53,358
강남소방서,2021,371,35090,2862,661,3977,17974,18016,982,17,391,0.968,533042,9509458,39.5,6.53,361
강동소방서,2007,209,14237,1100,284,545,9388,9558,813,18,233,0.0,464546,10192710,24.58,4.06,209
강동소방서,2008,201,14978,1003,302,921,9913,10117,735,22,253,0.0,469024,10200827,24.58,4.06,209
강동소방서,2009,214,16272,1198,310,1453,10748,10959,563,15,252,0.0,484745,10208302,24.58,4.06,201
강동소방서,2010,223,16762,1456,300,2004,11244,11443,532,18,237,0.0,491871,10312545,24.58,4.06,214
강동소방서,2011,224,16816,1713,284,2359,11275,11533,440,12,232,0.987,495138,10249679,24.59,4.06,223
강동소방서,2012,219,17741,2026,299,2042,11920,12121,428,8,263,0.981,487905,10195318,24.59,4.06,224
강동소방서,2013,259,18058,1792,248,2046,11834,11940,987,8,225,0.977,483379,10143645,24.59,4.06,219
강동소방서,2014,260,19589,1256,285,2250,13135,13259,789,8,240,0.963,476597,10103233,24.59,4.06,259
강동소방서,2015,263,19986,1131,383,2459,13545,13742,660,12,264,0.96,458658,10022181,24.59,4.06,260
강동소방서,2016,263,19916,1096,369,2481,12951,13113,865,10,311,0.978,444168,9930616,24.59,4.06,263
강동소방서,2017,266,21482,1179,338,2347,13758,13949,1099,10,269,0.987,436223,9857426,24.59,4.06,263
강동소방서,2018,266,20970,1313,391,2037,13880,13990,815,11,324,0.93,427573,9765623,24.59,4.06,266
강동소방서,2019,268,20846,1306,309,1823,13750,13894,631,5,254,0.874,436067,9729107,24.59,4.1,266
강동소방서,2020,296,20312,1162,287,1996,11969,11982,352,9,221,0.891,459970,9668465,24.59,4.06,268
강동소방서,2021,297,24172,1557,377,2301,13480,13486,250,0,211,0.886,462664,9509458,24.59,4.06,296
강북소방서,2012,188,10624,1598,206,2069,7670,7760,246,1,141,0.96,343157,10195318,23.6,3.9,188
강북소방서,2013,189,16599,1446,231,1979,12300,12387,373,3,229,0.972,338707,10143645,23.6,3.9,188
강북소방서,2014,189,19364,1078,197,2153,13938,14071,482,9,189,0.977,335025,10103233,23.6,3.9,189
강북소방서,2015,231,18885,936,204,2195,13199,13353,355,6,178,0.889,330873,10022181,23.6,3.9,189
강북소방서,2016,231,19430,930,188,2395,13113,13248,468,9,170,0.972,327195,9930616,23.6,3.9,231
강북소방서,2017,228,20602,981,189,2487,13194,13353,510,7,186,0.97,324479,9857426,23.6,3.9,231
강북소방서,2018,228,21500,1101,208,2054,13709,13791,389,0,203,0.978,319164,9765623,23.6,3.9,228
강북소방서,2019,229,20204,1066,181,1803,13077,13154,300,3,167,0.963,313954,9729107,23.6,3.9,228
강북소방서,2020,229,18729,1084,197,1633,10914,10918,249,4,186,0.958,308055,9668465,23.6,3.9,229
강북소방서,2021,238,22371,1302,195,1947,13161,13167,366,4,146,0.861,299182,9509458,23.6,3.9,229
강서소방서,2007,219,16163,1382,395,510,10440,10595,1116,19,381,0.0,560424,10192710,41.42,6.84,219
